Age,BodyweightKg,Place,Dots,Wilks,Glossbrenner,Goodlift,bestSquat/bodyWeight,bestBench/bodyWeight,bestDeadlift/bodyWeight,totalKg/bodyWeight
61.0,90.0,1,347.55,343.14,328.86,71.46,2.11,1.42,2.44,5.97
28.5,81.62,1,449.82,445.01,428.4,76.97,3.31,1.72,3.06,8.09
29.5,89.12,2,427.26,421.87,404.49,72.94,2.72,2.08,2.58,7.38
44.0,89.68,2,272.06,268.61,257.48,46.44,1.45,1.12,2.12,4.68
49.5,89.08,2,350.99,346.56,332.29,59.92,2.36,1.23,2.47,6.06
17.5,91.6,1,427.84,422.4,404.52,72.97,2.76,1.47,3.06,7.29
45.5,99.06,1,398.65,394.04,376.42,67.76,2.52,1.56,2.42,6.51
35.5,109.9,1,512.49,509.19,486.64,86.65,3.28,1.27,3.32,7.87
42.0,109.46,1,453.93,450.88,430.87,76.76,2.56,1.69,2.74,6.99
26.5,74.75,2,474.51,471.39,455.54,81.26,3.18,2.31,3.34,8.83
34.0,74.45,1,482.95,479.88,463.83,82.71,3.29,2.15,3.56,9.0
27.5,82.25,2,424.1,419.46,403.65,72.56,3.04,1.58,2.98,7.6
17.0,86.35,1,350.13,345.86,332.09,59.83,2.14,1.68,2.32,6.14
19.5,89.9,1,459.34,453.52,434.67,78.39,3.0,1.84,3.06,7.9
27.5,89.2,2,454.67,448.93,430.42,77.62,2.91,2.19,2.75,7.85
44.5,86.85,1,385.28,380.54,365.29,65.83,2.36,1.78,2.59,6.74
31.5,99.2,3,426.19,421.29,402.44,72.44,2.52,1.66,2.77,6.96
35.5,98.68,5,399.32,394.67,377.04,67.89,2.43,1.72,2.38,6.54
23.0,110.0,1,384.97,382.52,365.59,65.08,2.39,1.52,2.0,5.91
35.5,105.7,4,403.0,399.44,381.45,68.28,2.18,1.89,2.27,6.34
45.0,100.5,2,396.15,391.76,374.15,67.29,2.34,1.64,2.44,6.42
41.5,66.3,1,470.5,471.33,457.89,80.44,3.36,2.11,3.62,9.09
